Tier,Market,Market full name,type of value,value,good/bad,genre,OPPORTUNITY
US and English Language,CAN,Canada,Revenue Potential,0.022,,Match,
US and English Language,AUS,Australia,(Paid UA) CPP,2.000,good,Match,YES
US and English Language,AUS,Australia,(Paid UA) D7 ARPPU,3.000,medium,Match,YES
US and English Language,AUS,Australia,Revenue Potential,0.022,,Match,YES
US and English Language,NZL,New Zealand,(Paid UA) CPP,4.000,bad,Match,
US and English Language,NZL,New Zealand,(Paid UA) D7 ARPPU,4.000,good,Match,
US and English Language,NZL,New Zealand,Revenue Potential,0.003,,Match,
US and English Language,IRL,Ireland,(Paid UA) CPP,5.000,bad,Match,
US and English Language,IRL,Ireland,(Paid UA) D7 ARPPU,5.000,good,Match,
US and English Language,IRL,Ireland,Revenue Potential,0.002,,Match,
East Asia Pacific,All countries,East Asia Pacific,(Paid UA) CPP,4.000,bad,Match,
East Asia Pacific,All countries,East Asia Pacific,(Paid UA) D7 ARPPU,4.000,good,Match,
East Asia Pacific,All countries,East Asia Pacific,Revenue Potential,0.111,,Match,
East Asia Pacific,KOR,South Korea,(Paid UA) CPP,3.000,medium,Match,
East Asia Pacific,KOR,South Korea,(Paid UA) D7 ARPPU,3.000,medium,Match,
East Asia Pacific,KOR,South Korea,Revenue Potential,0.046,,Match,
East Asia Pacific,JPN,Japan,(Paid UA) CPP,3.000,medium,Match,
East Asia Pacific,JPN,Japan,(Paid UA) D7 ARPPU,2.000,bad,Match,
East Asia Pacific,JPN,Japan,Revenue Potential,0.056,,Match,
East Asia Pacific,TWN,Taiwan,(Paid UA) CPP,4.000,bad,Match,YES
East Asia Pacific,TWN,Taiwan,(Paid UA) D7 ARPPU,5.000,good,Match,YES
East Asia Pacific,TWN,Taiwan,Revenue Potential,0.005,,Match,YES
East Asia Pacific,HKG,Hong Kong,(Paid UA) CPP,5.000,bad,Match,YES
East Asia Pacific,HKG,Hong Kong,(Paid UA) D7 ARPPU,5.000,good,Match,YES
East Asia Pacific,HKG,Hong Kong,Revenue Potential,0.002,,Match,YES
East Asia Pacific,SGP,Singapore,(Paid UA) CPP,5.000,bad,Match,
East Asia Pacific,SGP,Singapore,(Paid UA) D7 ARPPU,5.000,good,Match,
East Asia Pacific,SGP,Singapore,Revenue Potential,0.002,,Match,
